city,city_code,adcode,省份
澳门特别行政区,853,820000,#N/A
香港特别行政区,852,810000,#N/A
台湾省,886,710000,#N/A
石河子市,993,659000,新疆维吾尔族自治区
阿拉尔市,997,659000,新疆维吾尔族自治区
双河市,0,659000,新疆维吾尔族自治区
铁门关市,0,659000,新疆维吾尔族自治区
图木舒克市,998,659000,新疆维吾尔族自治区
北屯市,906,659000,新疆维吾尔族自治区
五家渠市,994,659000,新疆维吾尔族自治区
阿勒泰地区,906,654300,新疆维吾尔族自治区
塔城地区,901,654200,新疆维吾尔族自治区
伊犁哈萨克自治州,999,654000,新疆维吾尔族自治区
和田地区,903,653200,新疆维吾尔族自治区
喀什地区,998,653100,新疆维吾尔族自治区
克孜勒苏柯尔克孜自治州,908,653000,新疆维吾尔族自治区
阿克苏地区,997,652900,新疆维吾尔族自治区
巴音郭楞蒙古自治州,996,652800,新疆维吾尔族自治区
博尔塔拉蒙古自治州,909,652700,新疆维吾尔族自治区
昌吉回族自治州,994,652300,新疆维吾尔族自治区
哈密地区,902,652200,新疆维吾尔族自治区
吐鲁番地区,995,652100,新疆维吾尔族自治区
克拉玛依市,990,650200,新疆维吾尔族自治区
乌鲁木齐市,991,650100,新疆维吾尔自治区
中卫市,955,640500,宁夏回族自治区
固原市,954,640400,宁夏回族自治区
吴忠市,953,640300,宁夏回族自治区
石嘴山市,952,640200,宁夏回族自治区
银川市,951,640100,宁夏回族自治区
海西蒙古族藏族自治州,977,632800,青海省
玉树藏族自治州,976,632700,青海省
果洛藏族自治州,975,632600,青海省
海南藏族自治州,974,632500,青海省
黄南藏族自治州,973,632300,青海省
海北藏族自治州,970,632200,青海省
海东市,972,630200,青海省
西宁市,971,630100,青海省
甘南藏族自治州,941,623000,甘肃省
临夏回族自治州,930,622900,甘肃省
陇南市,939,621200,甘肃省
定西市,932,621100,甘肃省
庆阳市,934,621000,甘肃省
酒泉市,937,620900,甘肃省
平凉市,933,620800,甘肃省
张掖市,936,620700,甘肃省
武威市,935,620600,甘肃省
天水市,938,620500,甘肃省
白银市,943,620400,甘肃省
金昌市,935,620300,甘肃省
嘉峪关市,937,620200,甘肃省
兰州市,931,620100,甘肃省
商洛市,914,611000,陕西省
安康市,915,610900,陕西省
榆林市,912,610800,陕西省
汉中市,916,610700,陕西省
延安市,911,610600,陕西省
渭南市,913,610500,陕西省
咸阳市,29,610400,陕西省
宝鸡市,917,610300,陕西省
铜川市,919,610200,陕西省
西安市,29,610100,陕西省
林芝地区,894,542600,西藏自治区
阿里地区,897,542500,#N/A
那曲地区,896,542400,西藏自治区
山南地区,893,542200,西藏自治区
昌都地区,895,540300,西藏自治区
日喀则市,892,540200,西藏自治区
拉萨市,891,540100,西藏自治区
迪庆藏族自治州,887,533400,云南省
怒江傈僳族自治州,86,533300,云南省
德宏傣族景颇族自治州,692,533100,云南省
大理白族自治州,872,532900,云南省
西双版纳傣族自治州,691,532800,云南省
文山壮族苗族自治州,876,532600,云南省
红河哈尼族彝族自治州,873,532500,云南省
楚雄彝族自治州,878,532300,云南省
临沧市,883,530900,云南省
普洱市,879,530800,云南省
丽江市,88,530700,云南省
昭通市,870,530600,云南省
保山市,875,530500,云南省
玉溪市,877,530400,云南省
曲靖市,874,530300,云南省
昆明市,871,530100,云南省
黔南布依族苗族自治州,854,522700,贵州省
黔东南苗族侗族自治州,855,522600,贵州省
黔西南布依族苗族自治州,859,522300,贵州省
铜仁市,856,520600,贵州省
毕节市,857,520500,贵州省
安顺市,53,520400,贵州省
遵义市,52,520300,贵州省
六盘水市,858,520200,贵州省
贵阳市,851,520100,贵州省
凉山彝族自治州,834,513400,四川省
甘孜藏族自治州,836,513300,四川省
阿坝藏族羌族自治州,837,513200,四川省
资阳市,28,512000,四川省
巴中市,827,511900,四川省
雅安市,835,511800,四川省
达州市,818,511700,四川省
广安市,826,511600,四川省
宜宾市,831,511500,四川省
